{'loss': 0.6933, 'grad_norm': 1.359375, 'learning_rate': 5e-05, 'rewards/chosen': 0.006380899343639612, 'rewards/rejected': 0.006320441607385874, 'rewards/accuracies': 0.35624998807907104, 'rewards/margins': 6.045941336196847e-05, 'logps/rejected': -131.63601684570312, 'logps/chosen': -149.08944702148438, 'logits/rejected': -0.010195283219218254, 'logits/chosen': 0.002989898668602109, 'epoch': 0.0}
{'eval_loss': 0.624955415725708, 'eval_runtime': 3471.8434, 'eval_samples_per_second': 3.499, 'eval_steps_per_second': 3.499, 'eval_rewards/chosen': 0.8161748051643372, 'eval_rewards/rejected': 0.208046555519104, 'eval_rewards/accuracies': 0.6649929881095886, 'eval_rewards/margins': 0.6081282496452332, 'eval_logps/rejected': -129.17904663085938, 'eval_logps/chosen': -139.7465362548828, 'eval_logits/rejected': -0.2777959108352661, 'eval_logits/chosen': -0.15870079398155212, 'epoch': 0.2}
{'loss': 0.6821, 'grad_norm': 3.359375, 'learning_rate': 0.0001980220772955602, 'rewards/chosen': 1.0931942462921143, 'rewards/rejected': 0.6219534873962402, 'rewards/accuracies': 0.612500011920929, 'rewards/margins': 0.47124090790748596, 'logps/rejected': -135.849853515625, 'logps/chosen': -148.75131225585938, 'logits/rejected': -0.4804938733577728, 'logits/chosen': -0.39619308710098267, 'epoch': 0.2}
{'loss': 0.6869, 'grad_norm': 2.796875, 'learning_rate': 0.0001895195261000831, 'rewards/chosen': 1.1704535484313965, 'rewards/rejected': 0.6704756021499634, 'rewards/accuracies': 0.6187499761581421, 'rewards/margins': 0.4999777674674988, 'logps/rejected': -131.3511199951172, 'logps/chosen': -135.50518798828125, 'logits/rejected': -0.5084086656570435, 'logits/chosen': -0.46616753935813904, 'epoch': 0.2}
{'loss': 0.6116, 'grad_norm': 2.53125, 'learning_rate': 0.00018109066104575022, 'rewards/chosen': 0.9242895245552063, 'rewards/rejected': 0.37046271562576294, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.5538269281387329, 'logps/rejected': -141.43948364257812, 'logps/chosen': -135.58802795410156, 'logits/rejected': -0.516586422920227, 'logits/chosen': -0.4588198661804199, 'epoch': 0.21}
{'loss': 0.6106, 'grad_norm': 2.484375, 'learning_rate': 0.00017274575140626317, 'rewards/chosen': 0.5607085227966309, 'rewards/rejected': -0.08918530493974686, 'rewards/accuracies': 0.6499999761581421, 'rewards/margins': 0.6498937606811523, 'logps/rejected': -136.63467407226562, 'logps/chosen': -136.83334350585938, 'logits/rejected': -0.6420823335647583, 'logits/chosen': -0.5988606214523315, 'epoch': 0.21}
{'loss': 0.6168, 'grad_norm': 2.5, 'learning_rate': 0.00016449496416858284, 'rewards/chosen': 0.9792100191116333, 'rewards/rejected': 0.33914729952812195, 'rewards/accuracies': 0.699999988079071, 'rewards/margins': 0.640062689781189, 'logps/rejected': -123.0481185913086, 'logps/chosen': -141.2316436767578, 'logits/rejected': -0.6894275546073914, 'logits/chosen': -0.596136748790741, 'epoch': 0.21}
{'loss': 0.6541, 'grad_norm': 2.46875, 'learning_rate': 0.00015634835164602198, 'rewards/chosen': 1.590732216835022, 'rewards/rejected': 1.0765762329101562, 'rewards/accuracies': 0.643750011920929, 'rewards/margins': 0.5141559839248657, 'logps/rejected': -118.67176818847656, 'logps/chosen': -137.375244140625, 'logits/rejected': -0.643878161907196, 'logits/chosen': -0.580534815788269, 'epoch': 0.22}
{'loss': 0.6997, 'grad_norm': 1.765625, 'learning_rate': 0.00014831583923105, 'rewards/chosen': 1.7061662673950195, 'rewards/rejected': 1.289125680923462, 'rewards/accuracies': 0.6187499761581421, 'rewards/margins': 0.4170406460762024, 'logps/rejected': -112.8640365600586, 'logps/chosen': -114.2333984375, 'logits/rejected': -0.5771390199661255, 'logits/chosen': -0.500237762928009, 'epoch': 0.22}
{'loss': 0.6246, 'grad_norm': 3.40625, 'learning_rate': 0.00014040721330273062, 'rewards/chosen': 1.132879376411438, 'rewards/rejected': 0.5505532026290894, 'rewards/accuracies': 0.6812499761581421, 'rewards/margins': 0.5823262333869934, 'logps/rejected': -121.36534118652344, 'logps/chosen': -128.0510711669922, 'logits/rejected': -0.6028083562850952, 'logits/chosen': -0.5516083836555481, 'epoch': 0.22}
{'loss': 0.5867, 'grad_norm': 3.421875, 'learning_rate': 0.00013263210930352737, 'rewards/chosen': 0.8167381286621094, 'rewards/rejected': 0.1210993304848671, 'rewards/accuracies': 0.699999988079071, 'rewards/margins': 0.6956387758255005, 'logps/rejected': -141.46119689941406, 'logps/chosen': -134.7032012939453, 'logits/rejected': -0.6449119448661804, 'logits/chosen': -0.6240277290344238, 'epoch': 0.23}
{'loss': 0.6678, 'grad_norm': 3.21875, 'learning_rate': 0.00012500000000000006, 'rewards/chosen': 0.4284830093383789, 'rewards/rejected': -0.021272623911499977, 'rewards/accuracies': 0.606249988079071, 'rewards/margins': 0.44975560903549194, 'logps/rejected': -123.07374572753906, 'logps/chosen': -129.75015258789062, 'logits/rejected': -0.6306177377700806, 'logits/chosen': -0.5687031745910645, 'epoch': 0.23}
{'eval_loss': 0.6167680621147156, 'eval_runtime': 3468.6813, 'eval_samples_per_second': 3.502, 'eval_steps_per_second': 3.502, 'eval_rewards/chosen': 0.5896244049072266, 'eval_rewards/rejected': 0.0075309136882424355, 'eval_rewards/accuracies': 0.6660630702972412, 'eval_rewards/margins': 0.5820934772491455, 'eval_logps/rejected': -131.18418884277344, 'eval_logps/chosen': -142.01205444335938, 'eval_logits/rejected': -0.4143892824649811, 'eval_logits/chosen': -0.3122476041316986, 'epoch': 0.23}
{'loss': 0.6578, 'grad_norm': 2.28125, 'learning_rate': 0.0001175201839416988, 'rewards/chosen': 0.6236529350280762, 'rewards/rejected': 0.17754428088665009, 'rewards/accuracies': 0.625, 'rewards/margins': 0.4461086690425873, 'logps/rejected': -117.88764953613281, 'logps/chosen': -134.27003479003906, 'logits/rejected': -0.6094144582748413, 'logits/chosen': -0.5420343279838562, 'epoch': 0.23}
{'loss': 0.6337, 'grad_norm': 3.234375, 'learning_rate': 0.00011020177413231333, 'rewards/chosen': 1.1170746088027954, 'rewards/rejected': 0.5251149535179138, 'rewards/accuracies': 0.6499999761581421, 'rewards/margins': 0.5919597148895264, 'logps/rejected': -123.54032897949219, 'logps/chosen': -138.17816162109375, 'logits/rejected': -0.5534366369247437, 'logits/chosen': -0.4458545744419098, 'epoch': 0.24}
{'loss': 0.6329, 'grad_norm': 2.8125, 'learning_rate': 0.00010305368692688174, 'rewards/chosen': 1.0138161182403564, 'rewards/rejected': 0.39996257424354553, 'rewards/accuracies': 0.625, 'rewards/margins': 0.6138536930084229, 'logps/rejected': -114.29364013671875, 'logps/chosen': -150.39999389648438, 'logits/rejected': -0.6310299634933472, 'logits/chosen': -0.525894284248352, 'epoch': 0.24}
{'loss': 0.5626, 'grad_norm': 2.578125, 'learning_rate': 9.608463116858542e-05, 'rewards/chosen': 1.0865929126739502, 'rewards/rejected': 0.3217788338661194, 'rewards/accuracies': 0.7124999761581421, 'rewards/margins': 0.764814019203186, 'logps/rejected': -121.17607116699219, 'logps/chosen': -142.83685302734375, 'logits/rejected': -0.6668260097503662, 'logits/chosen': -0.5473121404647827, 'epoch': 0.24}
{'loss': 0.6023, 'grad_norm': 2.78125, 'learning_rate': 8.930309757836516e-05, 'rewards/chosen': 1.0894254446029663, 'rewards/rejected': 0.4159415662288666, 'rewards/accuracies': 0.6625000238418579, 'rewards/margins': 0.6734838485717773, 'logps/rejected': -125.86417388916016, 'logps/chosen': -128.80697631835938, 'logits/rejected': -0.6379495859146118, 'logits/chosen': -0.5916559100151062, 'epoch': 0.25}
{'loss': 0.5846, 'grad_norm': 2.765625, 'learning_rate': 8.271734841028553e-05, 'rewards/chosen': 0.9476990699768066, 'rewards/rejected': 0.3095887303352356, 'rewards/accuracies': 0.6625000238418579, 'rewards/margins': 0.6381102800369263, 'logps/rejected': -127.5730209350586, 'logps/chosen': -138.3050994873047, 'logits/rejected': -0.6448122262954712, 'logits/chosen': -0.6242820024490356, 'epoch': 0.25}
{'loss': 0.5418, 'grad_norm': 2.6875, 'learning_rate': 7.633540738525066e-05, 'rewards/chosen': 0.807593047618866, 'rewards/rejected': -0.02332664467394352, 'rewards/accuracies': 0.6937500238418579, 'rewards/margins': 0.8309197425842285, 'logps/rejected': -131.6523895263672, 'logps/chosen': -142.159423828125, 'logits/rejected': -0.7184876203536987, 'logits/chosen': -0.6381305456161499, 'epoch': 0.25}
{'loss': 0.6177, 'grad_norm': 2.171875, 'learning_rate': 7.016504991533726e-05, 'rewards/chosen': 0.6023749709129333, 'rewards/rejected': 0.028942054137587547, 'rewards/accuracies': 0.6499999761581421, 'rewards/margins': 0.5734328627586365, 'logps/rejected': -126.61883544921875, 'logps/chosen': -140.50277709960938, 'logits/rejected': -0.6554091572761536, 'logits/chosen': -0.619454562664032, 'epoch': 0.26}
{'loss': 0.5467, 'grad_norm': 2.453125, 'learning_rate': 6.421379363065141e-05, 'rewards/chosen': 0.7917662262916565, 'rewards/rejected': 0.028374815359711647, 'rewards/accuracies': 0.7124999761581421, 'rewards/margins': 0.763391375541687, 'logps/rejected': -133.6031494140625, 'logps/chosen': -141.81820678710938, 'logits/rejected': -0.6800960302352905, 'logits/chosen': -0.6185634732246399, 'epoch': 0.26}
{'loss': 0.673, 'grad_norm': 3.328125, 'learning_rate': 5.848888922025553e-05, 'rewards/chosen': 0.681499183177948, 'rewards/rejected': 0.2729799151420593, 'rewards/accuracies': 0.6312500238418579, 'rewards/margins': 0.40851926803588867, 'logps/rejected': -128.73716735839844, 'logps/chosen': -134.95486450195312, 'logits/rejected': -0.6543381810188293, 'logits/chosen': -0.5852552652359009, 'epoch': 0.26}
{'eval_loss': 0.6031391620635986, 'eval_runtime': 3476.0337, 'eval_samples_per_second': 3.495, 'eval_steps_per_second': 3.495, 'eval_rewards/chosen': 0.7752565741539001, 'eval_rewards/rejected': 0.12864112854003906, 'eval_rewards/accuracies': 0.6782451272010803, 'eval_rewards/margins': 0.6466154456138611, 'eval_logps/rejected': -129.9730987548828, 'eval_logps/chosen': -140.1557159423828, 'eval_logits/rejected': -0.46544963121414185, 'eval_logits/chosen': -0.3541833460330963, 'epoch': 0.26}
{'loss': 0.5554, 'grad_norm': 2.75, 'learning_rate': 5.299731159831953e-05, 'rewards/chosen': 0.7644108533859253, 'rewards/rejected': 0.010539552196860313, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.7538712620735168, 'logps/rejected': -133.43118286132812, 'logps/chosen': -134.41453552246094, 'logits/rejected': -0.7227947115898132, 'logits/chosen': -0.6279994249343872, 'epoch': 0.27}
{'loss': 0.5873, 'grad_norm': 3.125, 'learning_rate': 4.7745751406263163e-05, 'rewards/chosen': 0.8798401951789856, 'rewards/rejected': 0.20237641036510468, 'rewards/accuracies': 0.699999988079071, 'rewards/margins': 0.6774637699127197, 'logps/rejected': -135.26536560058594, 'logps/chosen': -146.7332763671875, 'logits/rejected': -0.7061595320701599, 'logits/chosen': -0.6301653981208801, 'epoch': 0.27}
{'loss': 0.6542, 'grad_norm': 2.828125, 'learning_rate': 4.274060686123959e-05, 'rewards/chosen': 0.6935849785804749, 'rewards/rejected': 0.22711698710918427, 'rewards/accuracies': 0.625, 'rewards/margins': 0.46646803617477417, 'logps/rejected': -134.74252319335938, 'logps/chosen': -144.22035217285156, 'logits/rejected': -0.6543416380882263, 'logits/chosen': -0.5745172500610352, 'epoch': 0.27}
{'loss': 0.5819, 'grad_norm': 2.140625, 'learning_rate': 3.798797596089351e-05, 'rewards/chosen': 0.7576656937599182, 'rewards/rejected': 0.0019219741225242615, 'rewards/accuracies': 0.675000011920929, 'rewards/margins': 0.7557437419891357, 'logps/rejected': -119.43048095703125, 'logps/chosen': -131.97848510742188, 'logits/rejected': -0.7368978261947632, 'logits/chosen': -0.6413716673851013, 'epoch': 0.28}
{'loss': 0.5711, 'grad_norm': 3.65625, 'learning_rate': 3.3493649053890325e-05, 'rewards/chosen': 0.8087889552116394, 'rewards/rejected': 0.05858231708407402, 'rewards/accuracies': 0.706250011920929, 'rewards/margins': 0.7502066493034363, 'logps/rejected': -138.3102264404297, 'logps/chosen': -146.99740600585938, 'logits/rejected': -0.7094417214393616, 'logits/chosen': -0.617461085319519, 'epoch': 0.28}
{'loss': 0.5648, 'grad_norm': 2.421875, 'learning_rate': 2.9263101785268254e-05, 'rewards/chosen': 0.747299075126648, 'rewards/rejected': 0.03361266106367111, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.713686466217041, 'logps/rejected': -137.3610076904297, 'logps/chosen': -152.7841339111328, 'logits/rejected': -0.6706387400627136, 'logits/chosen': -0.6184016466140747, 'epoch': 0.28}
{'loss': 0.6981, 'grad_norm': 2.71875, 'learning_rate': 2.5301488425208295e-05, 'rewards/chosen': 0.5351641774177551, 'rewards/rejected': 0.11556167900562286, 'rewards/accuracies': 0.574999988079071, 'rewards/margins': 0.41960248351097107, 'logps/rejected': -131.8202667236328, 'logps/chosen': -127.69966888427734, 'logits/rejected': -0.7152615189552307, 'logits/chosen': -0.6736450791358948, 'epoch': 0.29}
{'loss': 0.6153, 'grad_norm': 2.21875, 'learning_rate': 2.1613635589349755e-05, 'rewards/chosen': 0.6874622702598572, 'rewards/rejected': 0.05236409977078438, 'rewards/accuracies': 0.6937500238418579, 'rewards/margins': 0.6350980997085571, 'logps/rejected': -143.578369140625, 'logps/chosen': -145.63333129882812, 'logits/rejected': -0.6929243803024292, 'logits/chosen': -0.6316730976104736, 'epoch': 0.29}
{'loss': 0.6339, 'grad_norm': 3.265625, 'learning_rate': 1.8204036358303172e-05, 'rewards/chosen': 0.6708283424377441, 'rewards/rejected': 0.18307530879974365, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.4877530634403229, 'logps/rejected': -123.4836654663086, 'logps/chosen': -130.50503540039062, 'logits/rejected': -0.7311302423477173, 'logits/chosen': -0.6707515716552734, 'epoch': 0.29}
{'loss': 0.6173, 'grad_norm': 2.21875, 'learning_rate': 1.5076844803522921e-05, 'rewards/chosen': 0.6180945038795471, 'rewards/rejected': -0.0019268244504928589, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.6200214624404907, 'logps/rejected': -137.31906127929688, 'logps/chosen': -133.6298828125, 'logits/rejected': -0.6958346366882324, 'logits/chosen': -0.7004793286323547, 'epoch': 0.3}
{'eval_loss': 0.60254967212677, 'eval_runtime': 3475.1407, 'eval_samples_per_second': 3.496, 'eval_steps_per_second': 3.496, 'eval_rewards/chosen': 0.6700261831283569, 'eval_rewards/rejected': 0.032940573990345, 'eval_rewards/accuracies': 0.6789859533309937, 'eval_rewards/margins': 0.6370855569839478, 'eval_logps/rejected': -130.9300994873047, 'eval_logps/chosen': -141.20803833007812, 'eval_logits/rejected': -0.4658257067203522, 'eval_logits/chosen': -0.3563089966773987, 'epoch': 0.3}
{'loss': 0.6206, 'grad_norm': 2.328125, 'learning_rate': 1.2235870926211617e-05, 'rewards/chosen': 0.7818189859390259, 'rewards/rejected': 0.18247175216674805, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.5993472337722778, 'logps/rejected': -141.2183074951172, 'logps/chosen': -150.08265686035156, 'logits/rejected': -0.7129352688789368, 'logits/chosen': -0.6222878694534302, 'epoch': 0.3}
{'loss': 0.6076, 'grad_norm': 2.484375, 'learning_rate': 9.684576015420277e-06, 'rewards/chosen': 0.7746807336807251, 'rewards/rejected': 0.12673598527908325, 'rewards/accuracies': 0.6625000238418579, 'rewards/margins': 0.6479448080062866, 'logps/rejected': -122.85115051269531, 'logps/chosen': -137.6985626220703, 'logits/rejected': -0.6809648275375366, 'logits/chosen': -0.6221483945846558, 'epoch': 0.3}
{'loss': 0.6073, 'grad_norm': 3.0625, 'learning_rate': 7.426068431000882e-06, 'rewards/chosen': 0.7734026908874512, 'rewards/rejected': 0.14924801886081696, 'rewards/accuracies': 0.6312500238418579, 'rewards/margins': 0.6241546869277954, 'logps/rejected': -129.78231811523438, 'logps/chosen': -133.8711700439453, 'logits/rejected': -0.7129808664321899, 'logits/chosen': -0.6895381212234497, 'epoch': 0.31}
{'loss': 0.5497, 'grad_norm': 2.703125, 'learning_rate': 5.463099816548578e-06, 'rewards/chosen': 0.6663464903831482, 'rewards/rejected': -0.04511271044611931, 'rewards/accuracies': 0.737500011920929, 'rewards/margins': 0.7114592790603638, 'logps/rejected': -120.1727294921875, 'logps/chosen': -135.08871459960938, 'logits/rejected': -0.7383428812026978, 'logits/chosen': -0.6688811182975769, 'epoch': 0.31}
{'loss': 0.5748, 'grad_norm': 2.75, 'learning_rate': 3.798061746947995e-06, 'rewards/chosen': 0.505469024181366, 'rewards/rejected': -0.14595846831798553, 'rewards/accuracies': 0.675000011920929, 'rewards/margins': 0.6514274477958679, 'logps/rejected': -122.5287094116211, 'logps/chosen': -127.83451080322266, 'logits/rejected': -0.6805247068405151, 'logits/chosen': -0.6668174266815186, 'epoch': 0.31}
{'loss': 0.5909, 'grad_norm': 2.296875, 'learning_rate': 2.4329828146074094e-06, 'rewards/chosen': 0.7426855564117432, 'rewards/rejected': 0.12504246830940247, 'rewards/accuracies': 0.668749988079071, 'rewards/margins': 0.6176430583000183, 'logps/rejected': -133.9083709716797, 'logps/chosen': -156.35986328125, 'logits/rejected': -0.7013484239578247, 'logits/chosen': -0.5985042452812195, 'epoch': 0.32}
{'loss': 0.6208, 'grad_norm': 2.265625, 'learning_rate': 1.3695261579316775e-06, 'rewards/chosen': 0.6542750597000122, 'rewards/rejected': 0.1329522579908371, 'rewards/accuracies': 0.643750011920929, 'rewards/margins': 0.5213227868080139, 'logps/rejected': -132.0202178955078, 'logps/chosen': -134.36158752441406, 'logits/rejected': -0.6746254563331604, 'logits/chosen': -0.6011866331100464, 'epoch': 0.32}
{'loss': 0.5467, 'grad_norm': 1.90625, 'learning_rate': 6.089874350439506e-07, 'rewards/chosen': 0.6401879191398621, 'rewards/rejected': -0.02626865543425083, 'rewards/accuracies': 0.71875, 'rewards/margins': 0.6664565801620483, 'logps/rejected': -124.0392837524414, 'logps/chosen': -139.94493103027344, 'logits/rejected': -0.7229205369949341, 'logits/chosen': -0.6697283983230591, 'epoch': 0.32}
{'loss': 0.6441, 'grad_norm': 2.671875, 'learning_rate': 1.5229324522605948e-07, 'rewards/chosen': 0.5695706605911255, 'rewards/rejected': -0.029689360409975052, 'rewards/accuracies': 0.6499999761581421, 'rewards/margins': 0.5992600321769714, 'logps/rejected': -150.5842742919922, 'logps/chosen': -145.12417602539062, 'logits/rejected': -0.7205990552902222, 'logits/chosen': -0.6923124194145203, 'epoch': 0.33}
{'loss': 0.5975, 'grad_norm': 2.328125, 'learning_rate': 0.0, 'rewards/chosen': 0.7885645627975464, 'rewards/rejected': 0.10941622406244278, 'rewards/accuracies': 0.6812499761581421, 'rewards/margins': 0.6791483759880066, 'logps/rejected': -130.9741973876953, 'logps/chosen': -145.0487518310547, 'logits/rejected': -0.6891562938690186, 'logits/chosen': -0.6048129796981812, 'epoch': 0.33}
{'eval_loss': 0.6025656461715698, 'eval_runtime': 3473.9955, 'eval_samples_per_second': 3.497, 'eval_steps_per_second': 3.497, 'eval_rewards/chosen': 0.6738597750663757, 'eval_rewards/rejected': 0.03661876544356346, 'eval_rewards/accuracies': 0.6789036393165588, 'eval_rewards/margins': 0.637241005897522, 'eval_logps/rejected': -130.893310546875, 'eval_logps/chosen': -141.169677734375, 'eval_logits/rejected': -0.4645724296569824, 'eval_logits/chosen': -0.3547602891921997, 'epoch': 0.33}
{'train_runtime': 39582.249, 'train_samples_per_second': 0.404, 'train_steps_per_second': 0.025, 'train_loss': 0.6444898791313172, 'epoch': 0.33}
